rodada,pesos
1,[[-1.80311985e+12 -1.71579331e+13]]
2,[[-1.71093848e+12 -1.62393734e+13]]
3,[[-1.71302206e+12 -1.62307427e+13]]
4,[[-1.74565291e+12 -1.65714713e+13]]
5,[[-1.82641236e+12 -1.73855486e+13]]
6,[[-1.77191563e+12 -1.68378502e+13]]
7,[[-1.85523679e+12 -1.76385501e+13]]
8,[[-1.75513477e+12 -1.66630577e+13]]
9,[[-1.87581477e+12 -1.78444937e+13]]
10,[[-1.60530570e+12 -1.51959128e+13]]
11,[[-1.69846524e+12 -1.61118426e+13]]
12,[[-1.73200993e+12 -1.64314992e+13]]
13,[[-1.76584421e+12 -1.67355903e+13]]
14,[[-1.68182843e+12 -1.59455660e+13]]
15,[[-1.77733183e+12 -1.68695248e+13]]
16,[[-1.92559319e+12 -1.83170574e+13]]
17,[[-1.82211466e+12 -1.73365124e+13]]
18,[[-1.68014010e+12 -1.59267677e+13]]
19,[[-1.73009454e+12 -1.64454253e+13]]
20,[[-1.78170691e+12 -1.69154379e+13]]
21,[[-1.70831240e+12 -1.62102531e+13]]
22,[[-1.78731772e+12 -1.69689422e+13]]
23,[[-1.77224108e+12 -1.68324116e+13]]
24,[[-1.64658706e+12 -1.55985805e+13]]
25,[[-1.77452050e+12 -1.68750568e+13]]
26,[[-1.93517126e+12 -1.84392371e+13]]
27,[[-1.98298226e+12 -1.89024280e+13]]
28,[[-1.7803844e+12 -1.6914356e+13]]
29,[[-1.78515389e+12 -1.69405915e+13]]
30,[[-1.69632991e+12 -1.60838157e+13]]
31,[[-1.87051904e+12 -1.77852832e+13]]
32,[[-1.73097673e+12 -1.64295538e+13]]
33,[[-1.89108785e+12 -1.79930241e+13]]
34,[[-1.78619153e+12 -1.69433114e+13]]
35,[[-1.62955476e+12 -1.54228768e+13]]
36,[[-1.74139636e+12 -1.65140842e+13]]
37,[[-1.55523207e+12 -1.46895056e+13]]
38,[[-1.82342798e+12 -1.73450204e+13]]
39,[[-1.66398111e+12 -1.57721854e+13]]
40,[[-1.66705574e+12 -1.58068131e+13]]
41,[[-1.61540504e+12 -1.52914243e+13]]
42,[[-1.66040588e+12 -1.57405792e+13]]
43,[[-1.72415869e+12 -1.63461958e+13]]
44,[[-1.85124338e+12 -1.75888773e+13]]
45,[[-1.68725054e+12 -1.59977278e+13]]
46,[[-1.84787904e+12 -1.75811898e+13]]
47,[[-1.63868301e+12 -1.55212718e+13]]
48,[[-1.78510008e+12 -1.69547432e+13]]
49,[[-1.80946721e+12 -1.71919932e+13]]
50,[[-1.79585365e+12 -1.70765771e+13]]
51,[[-1.87569041e+12 -1.78635459e+13]]
52,[[-1.80263637e+12 -1.71234159e+13]]
53,[[-1.73846552e+12 -1.65112632e+13]]
54,[[-1.71971398e+12 -1.63133709e+13]]
55,[[-1.87876897e+12 -1.78835569e+13]]
56,[[-1.71593338e+12 -1.62782405e+13]]
57,[[-1.70948881e+12 -1.61980918e+13]]
58,[[-1.80283699e+12 -1.71187325e+13]]
59,[[-1.90254139e+12 -1.81063691e+13]]
60,[[-1.68943505e+12 -1.60345964e+13]]
61,[[-1.68506077e+12 -1.59762315e+13]]
62,[[-1.73670298e+12 -1.64910610e+13]]
63,[[-1.79408822e+12 -1.70644073e+13]]
64,[[-1.79254808e+12 -1.70135343e+13]]
65,[[-1.82945874e+12 -1.74327402e+13]]
66,[[-1.90335138e+12 -1.81353329e+13]]
67,[[-1.79077256e+12 -1.70226389e+13]]
68,[[-1.79401668e+12 -1.70031542e+13]]
69,[[-1.89525937e+12 -1.80330554e+13]]
70,[[-1.68390839e+12 -1.59564506e+13]]
71,[[-1.86956487e+12 -1.77842144e+13]]
72,[[-1.75075120e+12 -1.66354828e+13]]
73,[[-1.80284299e+12 -1.71519627e+13]]
74,[[-1.69742474e+12 -1.60697700e+13]]
75,[[-1.80491946e+12 -1.71430433e+13]]
76,[[-1.82039147e+12 -1.73153808e+13]]
77,[[-1.78188036e+12 -1.69205323e+13]]
78,[[-1.76669706e+12 -1.67628438e+13]]
79,[[-1.92331452e+12 -1.83196570e+13]]
80,[[-1.83019308e+12 -1.74060521e+13]]
81,[[-1.81104903e+12 -1.72269034e+13]]
82,[[-1.77465804e+12 -1.68448616e+13]]
83,[[-1.77214995e+12 -1.68367785e+13]]
84,[[-1.79768749e+12 -1.70968726e+13]]
85,[[-1.75260637e+12 -1.66445846e+13]]
86,[[-1.74967070e+12 -1.65902841e+13]]
87,[[-1.81541717e+12 -1.72745068e+13]]
88,[[-1.88835433e+12 -1.79723216e+13]]
89,[[-1.80690521e+12 -1.71799114e+13]]
90,[[-1.71665200e+12 -1.62971852e+13]]
91,[[-1.72250944e+12 -1.63431628e+13]]
92,[[-1.80673732e+12 -1.71463646e+13]]
93,[[-1.70872216e+12 -1.62093671e+13]]
94,[[-1.84773308e+12 -1.75759535e+13]]
95,[[-1.76508507e+12 -1.67653939e+13]]
96,[[-1.69637416e+12 -1.60679810e+13]]
97,[[-1.64274662e+12 -1.55420550e+13]]
98,[[-1.70656848e+12 -1.61841639e+13]]
99,[[-1.77381175e+12 -1.68756286e+13]]
100,[[-1.94542294e+12 -1.85397301e+13]]
