rodada,pesos
1,[ 0.02286318  0.00640202 -0.07760563]
2,[ 0.00115561 -0.01986041 -0.08076888]
3,[ 0.00409521 -0.01827572 -0.08895549]
4,[-0.0021919  -0.03109425 -0.07271378]
5,[ 0.01570547 -0.01698654 -0.07120973]
6,[ 0.00531473 -0.01159199 -0.08018067]
7,[-0.00351178  0.00574169 -0.05972832]
8,[ 0.00861561 -0.01063525 -0.09019594]
9,[ 0.00359811 -0.01838364 -0.08542628]
10,[ 0.00257934  0.01117722 -0.05396495]
11,[ 0.01414256 -0.00121089 -0.08792482]
12,[ 0.00615358 -0.01746186 -0.07815941]
13,[ 0.01268256  0.00654411 -0.06488002]
14,[-0.01662626 -0.02193248 -0.06544775]
15,[ 0.01940939 -0.02556976 -0.0694481 ]
16,[-0.00384161 -0.03149164 -0.07329478]
17,[-0.00180507 -0.02034018 -0.04877304]
18,[-0.00701792  0.00110383 -0.08730189]
19,[-0.00966921 -0.00874907 -0.06406635]
20,[-0.0063744   0.00254623 -0.08469222]
21,[ 0.01594069 -0.0076525  -0.06991707]
22,[ 0.00533121 -0.00978077 -0.0706904 ]
23,[ 0.00308618 -0.03292734 -0.07289433]
24,[-0.01051646  0.00857503 -0.08673045]
25,[-0.01941866  0.00723231 -0.08190812]
26,[ 0.02359935 -0.02965509 -0.06152139]
27,[ 0.0389599  -0.00929167 -0.07377714]
28,[ 0.00734163  0.02500218 -0.07939806]
29,[ 0.03991909  0.01449665 -0.0675593 ]
30,[ 0.00899015 -0.00148021 -0.0663897 ]
31,[-0.01777339  0.01256122 -0.07867048]
32,[ 0.00906229  0.00042179 -0.08040717]
33,[ 0.0240757   0.01522071 -0.07577057]
34,[ 0.00904563  0.02859626 -0.07588281]
35,[ 0.00764412 -0.01035965 -0.08167249]
36,[-0.02439203 -0.00310223 -0.06191863]
37,[-0.00195786  0.01457666 -0.05836435]
38,[ 0.0315644  -0.01589264 -0.08162565]
39,[-0.01346422 -0.00547996 -0.08355451]
40,[ 0.00038593 -0.02181612 -0.06390155]
41,[-0.01198449 -0.02748591 -0.08239361]
42,[-0.0233302  -0.01713102 -0.06204372]
43,[-0.0034468   0.00888941 -0.08187337]
44,[-0.00435243 -0.01747168 -0.08546717]
45,[-0.00338485  0.01337732 -0.08031696]
46,[-0.00593957 -0.03723622 -0.07031885]
47,[-0.0027613   0.01819486 -0.08456245]
48,[ 0.00660468 -0.01983771 -0.06847162]
49,[ 0.01135198 -0.03910234 -0.0618752 ]
50,[-0.03694527 -0.03829198 -0.06146604]
51,[-0.00902179  0.00409214 -0.09055809]
52,[-0.00552927 -0.01501594 -0.08621986]
53,[-0.02906432  0.01175553 -0.08376292]
54,[ 0.01896363  0.00922091 -0.06105329]
55,[ 0.02349371 -0.03632677 -0.06833509]
56,[ 0.00659799 -0.01516353 -0.07947714]
57,[-0.02073166 -0.03314324 -0.05923011]
58,[ 0.02839849  0.00134946 -0.04630705]
59,[-0.01461192 -0.02261152 -0.06873763]
60,[-0.02276707 -0.00659918 -0.07671321]
61,[ 0.00376002 -0.00361639 -0.0645535 ]
62,[ 0.00701572  0.02026254 -0.0738607 ]
63,[-0.02348425  0.0069478  -0.08027592]
64,[-0.00494135  0.00326222 -0.08223082]
65,[ 0.02508148  0.00384834 -0.07430494]
66,[-0.01954735 -0.00415077 -0.06278394]
67,[-0.00856004 -0.02568001 -0.05692781]
68,[ 0.01594749 -0.01188457 -0.06332951]
69,[-0.00783513  0.01692741 -0.08121454]
70,[-0.00128558  0.00668114 -0.08666742]
71,[-0.01675789 -0.02698102 -0.09722818]
72,[ 0.05306317 -0.00129543 -0.07378973]
73,[ 0.01102564  0.00916571 -0.08853167]
74,[ 0.04265202  0.00195984 -0.08129346]
75,[-0.02237447 -0.02727014 -0.07968311]
76,[ 0.00952368  0.0159778  -0.07620378]
77,[ 0.00585532 -0.04672461 -0.08978323]
78,[-0.00084705  0.00096782 -0.09384354]
79,[-0.01953682 -0.0074131  -0.07326894]
80,[ 0.01359178  0.01686653 -0.06788711]
81,[-0.01215877  0.01469413 -0.07447775]
82,[-0.00195641  0.02662611 -0.08311716]
83,[ 0.00243552 -0.00817622 -0.07061097]
84,[ 0.02192987 -0.02183043 -0.08083502]
85,[ 0.00370538  0.00498825 -0.07032858]
86,[ 0.01921794  0.00240074 -0.0666343 ]
87,[-0.01966289 -0.0108178  -0.07204533]
88,[-0.00584926 -0.01572237 -0.07909083]
89,[ 0.04563408 -0.00663206 -0.07735387]
90,[ 0.00275949 -0.03945824 -0.08569955]
91,[ 0.01006312 -0.01229611 -0.08136608]
92,[ 0.00900552 -0.00676969 -0.07006582]
93,[ 0.00683584  0.00822002 -0.06483175]
94,[ 0.03930971  0.00045768 -0.07660789]
95,[ 0.00728414 -0.02923734 -0.06331908]
96,[-0.00892125 -0.01073315 -0.09077283]
97,[ 0.01297673 -0.00078082 -0.06931569]
98,[-0.00778684  0.0233875  -0.08496526]
99,[-0.01805194  0.00196079 -0.07714774]
100,[-0.00986128 -0.01690573 -0.05791929]
