rodada,pesos
1,"[ 1.62568259e+169  6.56988698e+169 -5.55550407e+168  8.56658466e+168
  4.18659288e+169  1.40283966e+168 -4.04940929e+170 -4.22463665e+169
  1.62928893e+169  6.50565628e+169  9.80630223e+168  1.60675218e+170]"
2,"[ 2.93850632e+174 -7.71212307e+174 -2.30145823e+174 -6.45354724e+173
  3.60710800e+174  1.28295941e+173  8.02120473e+175  3.71484782e+176
  2.90121249e+174  1.08876992e+175 -1.31188977e+174  2.45105214e+175]"
3,"[ 1.02132609e+168  1.71047965e+169  1.75214332e+168 -5.67271495e+167
  4.79972231e+168  7.59634663e+166 -1.40124049e+170 -2.36399596e+170
  1.02049108e+168  2.76887654e+168  7.74218181e+167  1.07777681e+169]"
4,"[-1.23769544e+185 -1.16856562e+186 -1.34904831e+184 -7.25920224e+184
  5.02395902e+185  3.99500338e+182 -8.98817929e+186 -1.93728651e+187
 -1.24089418e+185 -4.21699260e+185 -8.62375548e+184 -4.23602188e+185]"
5,"[3.09910046e+168 3.32802338e+169 1.76762186e+168 1.00904961e+168
 4.48178034e+168 1.36204279e+167 6.21533764e+168 1.15155943e+170
 3.08447732e+168 8.99993739e+168 2.40354865e+168 3.23016387e+169]"
6,"[ 4.52516473e+164  2.22490706e+165  3.68727063e+163  2.81944314e+164
 -1.27480434e+164 -1.65438785e+163 -2.26856726e+166 -4.00669261e+166
  4.46711943e+164  1.61967231e+165  3.82730071e+164  8.55590540e+165]"
7,"[ 3.94240703e+160  2.71771660e+161 -1.14266962e+160 -1.23592008e+159
  1.65859912e+160  1.40229124e+159  1.09869289e+162 -6.97354423e+161
  3.92310466e+160  1.15158818e+161  2.48340864e+160  3.42613145e+161]"
8,"[-4.10599511e+176 -1.52540511e+178  5.15705173e+176 -2.04294209e+177
  4.55980037e+177  1.38463629e+176  5.19779855e+177 -2.59651571e+178
 -4.18341439e+176 -1.62723294e+177  1.13767765e+176 -2.11937094e+177]"
9,"[-3.11858482e+167 -1.66899314e+168 -1.67698294e+167 -5.66554349e+166
 -4.21955263e+167  1.68036786e+167 -1.65860291e+168 -5.90520207e+168
 -3.10761506e+167 -1.32582011e+168  8.36245344e+166 -3.35611924e+168]"
10,"[ 9.33919573e+169  5.93819501e+170 -1.19912899e+169  1.03310830e+170
  2.51319294e+170  1.17161926e+169  2.41564175e+171  5.88546927e+170
  9.31589846e+169  2.99277383e+170  1.01206573e+170  1.16316958e+171]"
11,"[2.86229775e+174 1.45807824e+175 1.84849939e+174 8.96683392e+173
 1.65537857e+175 7.64956548e+173 1.84175647e+176 3.10081322e+176
 2.85343140e+174 9.01499014e+174 1.24390021e+174 1.98106368e+175]"
12,"[1.11253232e+183 9.24960022e+183 4.94252424e+182 5.27550330e+182
 2.98765511e+183 9.49147350e+181 1.71464629e+184 1.14866540e+185
 1.10912825e+183 3.73795963e+183 7.09786270e+182 1.14437331e+184]"
13,"[-6.38547695e+180 -4.46892816e+181 -3.25652756e+180 -3.13175851e+180
 -4.98002450e+181 -4.49597297e+179 -2.26732705e+182 -5.90631262e+182
 -6.38493875e+180 -2.19841320e+181 -5.62948400e+180 -6.68846103e+181]"
14,"[-7.76100548e+158 -7.34102427e+159 -3.01654001e+158 -3.18793386e+158
 -1.33083331e+159 -1.50590273e+158 -7.19157844e+158  1.46729658e+160
 -7.75704818e+158 -2.34298240e+159 -2.02979261e+158 -4.91817680e+159]"
15,"[1.44113123e+167 6.38722133e+167 4.14338601e+166 1.76138849e+167
 7.07711162e+165 1.23380303e+167 7.69732132e+167 2.87818723e+167
 1.43275343e+167 4.05916532e+167 2.42685907e+167 8.54980011e+167]"
16,"[-2.13229753e+181 -1.48551346e+182 -1.48829341e+181 -9.18203703e+179
 -4.14000854e+181 -1.53116513e+180 -2.60472567e+182 -8.03223750e+182
 -2.12566109e+181 -7.26190541e+181 -1.10289386e+181 -2.03722529e+182]"
