rodada,pesos
1,"[[8.08287919e+36 5.55511035e+37 2.26608249e+36 2.73836352e+36
  5.75597855e+37 3.80514258e+35 3.14345445e+38 1.22500472e+39
  8.03883905e+36 2.57797762e+37 4.00222890e+36 8.35807966e+37]]"
2,"[[3.27916486e+36 2.25671376e+37 9.23636459e+35 1.10924465e+36
  2.33401696e+37 1.55095814e+35 1.27171052e+38 4.96955712e+38
  3.26130777e+36 1.04588490e+37 1.62291461e+36 3.39316320e+37]]"
3,"[[-1.34030463e+37 -9.21096963e+37 -3.75024828e+36 -4.52053884e+36
  -9.47156933e+37 -6.31939033e+35 -5.23101956e+38 -2.03056670e+39
  -1.33298721e+37 -4.27354558e+37 -6.63216996e+36 -1.38517226e+38]]"
4,"[[-1.26876201e+36 -8.72012387e+36 -3.56137778e+35 -4.30311219e+35
  -8.90653574e+36 -6.01222351e+34 -4.95878589e+37 -1.92260509e+38
  -1.26180107e+36 -4.04530481e+36 -6.28032636e+35 -1.31176393e+37]]"
5,"[[-7.26672792e+36 -4.99521976e+37 -2.03714796e+36 -2.47092909e+36
  -5.11083092e+37 -3.39122396e+35 -2.82472348e+38 -1.09734221e+39
  -7.22683167e+36 -2.31774129e+37 -3.60009811e+36 -7.51968550e+37]]"
6,"[[1.79757804e+37 1.23585723e+38 5.03412446e+36 6.09727823e+36
  1.25578670e+38 8.45129114e+35 6.93719128e+38 2.71256268e+39
  1.78771916e+37 5.73681208e+37 8.91028569e+36 1.85932400e+38]]"
7,"[[2.13864974e+37 1.46989802e+38 6.00817877e+36 7.23788899e+36
  1.50598060e+38 1.00828016e+36 8.33146944e+38 3.24877796e+39
  2.12694295e+37 6.82359536e+37 1.06063115e+37 2.21281224e+38]]"
8,"[[1.61736040e+36 1.11269005e+37 4.52530132e+35 5.48873711e+35
  1.13260077e+37 7.64476138e+34 6.32059666e+37 2.44557540e+38
  1.60848753e+36 5.15479249e+36 8.00227512e+35 1.67160598e+37]]"
9,"[[-1.79104611e+37 -1.23116301e+38 -5.00746722e+36 -6.07592775e+36
  -1.26586586e+38 -8.42117307e+35 -6.99479867e+38 -2.71582023e+39
  -1.78126201e+37 -5.71191543e+37 -8.85843885e+36 -1.85106450e+38]]"
10,"[[5.17004629e+36 3.54937999e+37 1.44785005e+36 1.74993053e+36
  3.66116698e+37 2.43676071e+35 1.99735289e+38 7.77227019e+38
  5.14163671e+36 1.64798829e+37 2.55614434e+36 5.35529485e+37]]"
11,"[[6.58702329e+36 4.52841620e+37 1.84900419e+36 2.23660039e+36
  4.61289171e+37 3.10279739e+35 2.52755363e+38 9.92473609e+38
  6.55070719e+36 2.09942760e+37 3.24699439e+36 6.81919213e+37]]"
12,"[[-1.45096357e+36 -9.97273489e+36 -4.07118745e+35 -4.91674652e+35
  -1.01721475e+37 -6.83818093e+34 -5.65220698e+37 -2.19716759e+38
  -1.44298844e+36 -4.62380604e+36 -7.16060640e+35 -1.50129526e+37]]"
13,"[[-8.63168357e+36 -5.94586595e+37 -2.41826702e+36 -2.93895515e+36
  -6.05076636e+37 -4.05243846e+35 -3.36302545e+38 -1.30913562e+39
  -8.58431529e+36 -2.75201423e+37 -4.27005491e+36 -8.93198529e+37]]"
14,"[[7.78104089e+36 5.35033109e+37 2.18506689e+36 2.63097413e+36
  5.40612416e+37 3.67154785e+35 3.00217817e+38 1.17509944e+39
  7.73805921e+36 2.48078236e+37 3.85211325e+36 8.06037428e+37]]"
15,"[[1.53395157e+37 1.05386684e+38 4.29018900e+36 5.20972844e+36
  1.06518006e+38 7.24409480e+35 5.97000030e+38 2.31728426e+39
  1.52546469e+37 4.89290352e+37 7.60634390e+36 1.58844900e+38]]"
16,"[[-9.66564721e+36 -6.63912449e+37 -2.71225167e+36 -3.26747316e+36
  -6.77572292e+37 -4.55176481e+35 -3.72961425e+38 -1.46303328e+39
  -9.61256877e+36 -3.08277196e+37 -4.77125469e+36 -9.99237202e+37]]"
17,"[[2.38022075e+36 1.63620600e+37 6.66437769e+35 8.04039922e+35
  1.66730208e+37 1.12106969e+35 9.25841902e+37 3.60112642e+38
  2.36713259e+36 7.59291944e+36 1.17692130e+36 2.46451139e+37]]"
18,"[[-1.25917560e+37 -8.65984952e+37 -3.54501166e+36 -4.26079742e+36
  -8.94619908e+37 -5.93214831e+35 -4.90985172e+38 -1.91129781e+39
  -1.25230707e+37 -4.01264496e+37 -6.22278978e+36 -1.30061630e+38]]"
19,"[[-3.01967395e+35 -2.07592025e+36 -8.48059501e+34 -1.01940516e+35
  -2.12932114e+36 -1.41911664e+34 -1.16212618e+37 -4.55943721e+37
  -3.00312543e+35 -9.63291206e+35 -1.49225244e+35 -3.12595616e+36]]"
20,"[[1.38785416e+37 9.53343844e+37 3.87507192e+36 4.72606351e+36
  9.84409673e+37 6.51872979e+35 5.40259373e+38 2.10911743e+39
  1.38026962e+37 4.42391356e+37 6.87509389e+36 1.43474864e+38]]"
21,"[[1.94230332e+37 1.33420307e+38 5.45767593e+36 6.56334633e+36
  1.36105153e+38 9.14286594e+35 7.54663518e+38 2.93380983e+39
  1.93161117e+37 6.19317222e+37 9.59737395e+36 2.01077557e+38]]"
22,"[[-1.26163976e+37 -8.67282162e+37 -3.54200998e+36 -4.29008297e+36
  -8.87460094e+37 -5.92634256e+35 -4.87493388e+38 -1.91046632e+39
  -1.25470350e+37 -4.02077593e+37 -6.23489699e+36 -1.30580079e+38]]"
23,"[[-1.93464722e+37 -1.32915321e+38 -5.42342299e+36 -6.56542860e+36
  -1.36103212e+38 -9.09933629e+35 -7.47521195e+38 -2.92314534e+39
  -1.92403115e+37 -6.16572837e+37 -9.53389147e+36 -2.00052732e+38]]"
24,"[[-7.25698337e+36 -4.98677695e+37 -2.04141487e+36 -2.44963138e+36
  -5.09155130e+37 -3.40776577e+35 -2.82188876e+38 -1.10053300e+39
  -7.21710691e+36 -2.31374127e+37 -3.58029104e+36 -7.50885518e+37]]"
25,"[[2.64750289e+36 1.82333172e+37 7.43040870e+35 8.99273685e+35
  1.85496114e+37 1.25008035e+35 1.02378848e+38 4.00169093e+38
  2.63295555e+36 8.43770288e+36 1.31069890e+36 2.74142793e+37]]"
26,"[[-3.49482855e+36 -2.40750280e+37 -9.78873053e+35 -1.18553702e+36
  -2.45453108e+37 -1.64344207e+35 -1.35642395e+38 -5.29820056e+38
  -3.47564511e+36 -1.11375771e+37 -1.72676525e+36 -3.61756041e+37]]"
27,"[[-3.37475937e+36 -2.31939450e+37 -9.49082511e+35 -1.13914733e+36
  -2.36751357e+37 -1.58957554e+35 -1.31543121e+38 -5.11233047e+38
  -3.35617737e+36 -1.07640351e+37 -1.66868300e+36 -3.49384916e+37]]"
28,"[[1.81135786e+35 1.24560892e+36 5.07750740e+34 6.15298735e+34
  1.26863087e+36 8.50347723e+33 7.04570416e+36 2.74207687e+37
  1.80140578e+35 5.77414662e+35 8.98401656e+34 1.87377803e+36]]"
29,"[[-8.03174149e+36 -5.52215480e+37 -2.25445357e+36 -2.71048285e+36
  -5.63933535e+37 -3.79082686e+35 -3.12226081e+38 -1.21754277e+39
  -7.98778681e+36 -2.56177532e+37 -3.97379373e+36 -8.29950431e+37]]"
30,"[[-1.04519718e+37 -7.19080780e+37 -2.93819924e+36 -3.54376276e+36
  -7.37187445e+37 -4.94916896e+35 -4.04201820e+38 -1.57937419e+39
  -1.03947841e+37 -3.33193660e+37 -5.17997723e+36 -1.08109698e+38]]"
31,"[[1.85292715e+37 1.27516035e+38 5.21196801e+36 6.29666048e+36
  1.30842767e+38 8.71858701e+35 7.19159553e+38 2.80157027e+39
  1.84281613e+37 5.90487451e+37 9.15759003e+36 1.91368936e+38]]"
32,"[[-3.14193545e+36 -2.16005361e+37 -8.82060298e+35 -1.06226291e+36
  -2.19599685e+37 -1.48195509e+35 -1.21978470e+38 -4.76369280e+38
  -3.12463778e+36 -1.00232446e+37 -1.55577515e+36 -3.25280050e+37]]"
33,"[[-1.19681219e+37 -8.22812904e+37 -3.35527585e+36 -4.05415414e+36
  -8.40244873e+37 -5.60297022e+35 -4.65034186e+38 -1.81338072e+39
  -1.19024669e+37 -3.81674897e+37 -5.91857458e+36 -1.23744044e+38]]"
34,"[[-3.41822517e+36 -2.34653089e+37 -9.57524086e+35 -1.15702593e+36
  -2.39502915e+37 -1.61611910e+35 -1.32136049e+38 -5.15806853e+38
  -3.39943313e+36 -1.09039749e+37 -1.68412705e+36 -3.53375610e+37]]"
35,"[[-1.44700724e+37 -9.94534395e+37 -4.06064576e+36 -4.90270227e+36
  -1.01243579e+38 -6.80240814e+35 -5.64354453e+38 -2.19066304e+39
  -1.43903679e+37 -4.61327236e+37 -7.14548218e+36 -1.49727870e+38]]"
36,"[[-1.00555236e+37 -6.91826228e+37 -2.81643074e+36 -3.40792178e+36
  -7.06221789e+37 -4.74806974e+35 -3.86984040e+38 -1.51359394e+39
  -1.00002651e+37 -3.20531673e+37 -4.96586491e+36 -1.04022341e+38]]"
37,"[[1.00674120e+37 6.90768384e+37 2.81234317e+36 3.40122286e+36
  7.04429215e+37 4.73039874e+35 3.93179696e+38 1.53049482e+39
  1.00121659e+37 3.21379171e+37 4.97836131e+36 1.04024476e+38]]"
38,"[[9.54130003e+36 6.55844982e+37 2.67198589e+36 3.21958204e+36
  6.68475937e+37 4.48185983e+35 3.69953481e+38 1.43978306e+39
  9.48876821e+36 3.04242832e+37 4.70757164e+36 9.87671694e+37]]"
39,"[[7.62916013e+36 5.25419202e+37 2.14896648e+36 2.58148617e+36
  5.35677218e+37 3.58470446e+35 2.95005637e+38 1.15195023e+39
  7.58721623e+36 2.43097205e+37 3.77897959e+36 7.90137319e+37]]"
40,"[[-1.73490181e+36 -1.19232472e+37 -4.87178852e+35 -5.87838516e+35
  -1.21353004e+37 -8.18495365e+34 -6.74573648e+37 -2.61856690e+38
  -1.72534345e+36 -5.53110519e+36 -8.57891735e+35 -1.79584403e+37]]"
41,"[[7.78157078e+36 5.34982020e+37 2.17915918e+36 2.64380682e+36
  5.49676053e+37 3.69608710e+35 3.03933485e+38 1.18128827e+39
  7.73910990e+36 2.48074381e+37 3.84271696e+36 8.03771618e+37]]"
42,"[[-1.45868087e+37 -1.00205162e+38 -4.09270426e+36 -4.93290938e+36
  -1.02021313e+38 -6.84792234e+35 -5.66958125e+38 -2.20039921e+39
  -1.45063884e+37 -4.65109346e+37 -7.22278205e+36 -1.50972829e+38]]"
43,"[[-8.90901864e+36 -6.12046136e+37 -2.49664434e+36 -3.02596507e+36
  -6.25194598e+37 -4.19118682e+35 -3.45108717e+38 -1.34566077e+39
  -8.86013394e+36 -2.84013023e+37 -4.40507604e+36 -9.20140395e+37]]"
44,"[[-1.46878660e+37 -1.00884723e+38 -4.10592679e+36 -4.97067169e+36
  -1.02917521e+38 -6.90428987e+35 -5.71323693e+38 -2.22340005e+39
  -1.46071618e+37 -4.68627372e+37 -7.27794260e+36 -1.52039116e+38]]"
45,"[[1.45979575e+35 1.00397271e+36 4.09155622e+34 4.95388381e+34
  1.02362322e+36 6.92103390e+33 5.68634871e+36 2.20561482e+37
  1.45178337e+35 4.65627671e+35 7.22903617e+34 1.51061083e+36]]"
46,"[[-4.26741779e+36 -2.93548748e+37 -1.19469672e+36 -1.44281285e+36
  -2.98800148e+37 -2.01118498e+35 -1.66305482e+38 -6.45961879e+38
  -4.24393605e+36 -1.36048482e+37 -2.10870632e+36 -4.41562680e+37]]"
47,"[[8.67197696e+36 5.97027266e+37 2.43853902e+36 2.94586801e+36
  6.07828390e+37 4.10698049e+35 3.37040261e+38 1.31525475e+39
  8.62434840e+36 2.76509026e+37 4.28849279e+36 8.97334495e+37]]"
48,"[[-2.12765364e+37 -1.46118803e+38 -5.97252245e+36 -7.18710583e+36
  -1.50555151e+38 -1.00471270e+36 -8.27819089e+38 -3.21522279e+39
  -2.11598397e+37 -6.78418908e+37 -1.05111486e+37 -2.20190122e+38]]"
49,"[[-1.81350823e+37 -1.24476939e+38 -5.08975341e+36 -6.13571493e+36
  -1.27098392e+38 -8.51382570e+35 -7.04473882e+38 -2.73368887e+39
  -1.80348413e+37 -5.78670246e+37 -8.97470300e+36 -1.88130015e+38]]"
50,"[[5.18913615e+36 3.56823213e+37 1.46233642e+36 1.75248110e+36
  3.57526062e+37 2.45669865e+35 1.99390564e+38 7.83068042e+38
  5.16035841e+36 1.65530476e+37 2.56177309e+36 5.37425022e+37]]"
51,"[[2.31382604e+36 1.58963737e+37 6.50742645e+35 7.82966398e+35
  1.62183850e+37 1.08568384e+35 8.98458093e+37 3.51004054e+38
  2.30114121e+36 7.38398040e+36 1.14638176e+36 2.39266049e+37]]"
52,"[[-1.60423343e+37 -1.10261344e+38 -4.50448201e+36 -5.42025515e+36
  -1.13605879e+38 -7.51402186e+35 -6.25576501e+38 -2.42888457e+39
  -1.59545006e+37 -5.11631317e+37 -7.94310074e+36 -1.66065304e+38]]"
