rodada,pesos
1,[2.67407007e+07 2.60614370e+08]
2,[2.67289492e+07 2.60158390e+08]
3,[2.66422992e+07 2.59229356e+08]
4,[2.67673002e+07 2.61455126e+08]
5,[2.67267516e+07 2.60871520e+08]
6,[2.67909011e+07 2.61732818e+08]
7,[2.67219010e+07 2.60696926e+08]
8,[2.68267996e+07 2.62156075e+08]
9,[2.66106001e+07 2.59174251e+08]
10,[2.70362511e+07 2.65197576e+08]
11,[2.66619996e+07 2.59910705e+08]
12,[2.67844002e+07 2.61872806e+08]
13,[2.67494508e+07 2.60699440e+08]
14,[2.66839002e+07 2.59889556e+08]
15,[2.65705002e+07 2.58496450e+08]
16,[2.66545496e+07 2.59115595e+08]
17,[2.67580004e+07 2.61369380e+08]
18,[2.69436009e+07 2.63938797e+08]
19,[2.68306991e+07 2.62072441e+08]
20,[2.67398514e+07 2.60955577e+08]
21,[2.68273501e+07 2.61788251e+08]
22,[2.67605003e+07 2.61000179e+08]
23,[2.67255995e+07 2.60614036e+08]
24,[2.68928006e+07 2.63286858e+08]
25,[2.67406998e+07 2.60657300e+08]
26,[2.67161503e+07 2.60290974e+08]
27,[2.64474513e+07 2.57215947e+08]
28,[2.70458003e+07 2.65326191e+08]
29,[2.66279493e+07 2.59272776e+08]
30,[2.67366015e+07 2.60451882e+08]
31,[2.67299005e+07 2.60521025e+08]
32,[2.67070999e+07 2.60122831e+08]
33,[2.67187009e+07 2.60523504e+08]
34,[2.67768016e+07 2.61202659e+08]
35,[2.66390508e+07 2.59494675e+08]
36,[2.67181994e+07 2.60756266e+08]
37,[2.66160505e+07 2.59215435e+08]
38,[2.67876001e+07 2.61390902e+08]
39,[2.6807300e+07 2.6187075e+08]
40,[2.67712015e+07 2.61438419e+08]
41,[2.67448996e+07 2.60752906e+08]
42,[2.68322007e+07 2.62501119e+08]
43,[2.66784504e+07 2.59796685e+08]
44,[2.67874998e+07 2.61152131e+08]
45,[2.67724002e+07 2.61560630e+08]
46,[2.67871495e+07 2.61384781e+08]
47,[2.67142004e+07 2.60580777e+08]
48,[2.65617492e+07 2.58624421e+08]
49,[2.67833006e+07 2.61249506e+08]
50,[2.67210002e+07 2.60835589e+08]
51,[2.66129995e+07 2.59019901e+08]
52,[2.70676502e+07 2.65092750e+08]
53,[2.66922507e+07 2.60340410e+08]
54,[2.66535504e+07 2.59436450e+08]
55,[2.68258518e+07 2.61875684e+08]
56,[2.67947497e+07 2.61187751e+08]
57,[2.66502009e+07 2.59495301e+08]
58,[2.66489006e+07 2.59507255e+08]
59,[2.66743506e+07 2.59525971e+08]
60,[2.66793993e+07 2.59519841e+08]
61,[2.67061519e+07 2.60321691e+08]
62,[2.67213999e+07 2.60728150e+08]
63,[2.68465014e+07 2.62294212e+08]
64,[2.68313995e+07 2.62328201e+08]
65,[2.6822800e+07 2.6203008e+08]
66,[2.68279510e+07 2.62096711e+08]
67,[2.68101001e+07 2.62588956e+08]
68,[2.68448997e+07 2.62456300e+08]
69,[2.67995006e+07 2.61904095e+08]
70,[2.67022004e+07 2.59862441e+08]
71,[2.67983509e+07 2.61809688e+08]
72,[2.67122014e+07 2.60172453e+08]
73,[2.67939510e+07 2.61555022e+08]
74,[2.68064508e+07 2.62006577e+08]
75,[2.66683492e+07 2.59918736e+08]
76,[2.67961492e+07 2.61709650e+08]
77,[2.68060008e+07 2.61745455e+08]
78,[2.67697516e+07 2.61044448e+08]
79,[2.66373506e+07 2.59496910e+08]
80,[2.66237495e+07 2.59571246e+08]
81,[2.68006501e+07 2.61943071e+08]
82,[2.68110494e+07 2.62392121e+08]
83,[2.66950503e+07 2.59953218e+08]
84,[2.68501990e+07 2.62880326e+08]
85,[2.68061505e+07 2.62187215e+08]
86,[2.67209512e+07 2.60416019e+08]
87,[2.67669510e+07 2.60899144e+08]
88,[2.67031010e+07 2.60713825e+08]
89,[2.67568501e+07 2.61435962e+08]
90,[2.67195019e+07 2.60665944e+08]
91,[2.68271014e+07 2.62341657e+08]
92,[2.68861499e+07 2.63028455e+08]
93,[2.68775505e+07 2.63326550e+08]
94,[2.67437005e+07 2.60741679e+08]
95,[2.69278013e+07 2.63129954e+08]
96,[2.66509014e+07 2.59486626e+08]
97,[2.67972997e+07 2.61684780e+08]
98,[2.68081000e+07 2.61755551e+08]
99,[2.67228499e+07 2.60488510e+08]
100,[2.68367504e+07 2.62618207e+08]
