rodada,pesos
1,[  2.22637908  -6.32863204 -10.88777355]
2,[ 3.31420488 -4.36633497 -8.53877675]
3,[-8.16080418  4.36653038 -9.42427148]
4,[ 4.42264176  1.72933655 -4.74474584]
5,[ -4.49380716   7.43140241 -17.96305737]
6,[ 9.78118669 -0.74905828 -9.50033698]
7,[-8.83158425 -1.19224611 -3.55325543]
8,[ -8.81084577  10.19549359 -13.34540612]
9,[-0.3535643   6.98416034  4.55056352]
10,[ 8.28438396 -0.23002801 -5.68469104]
11,[-3.92907354 -4.15157849 -5.58532728]
12,[  1.93162279 -10.76124426  -6.08268873]
13,[4.54340836 3.84407524 0.36411861]
14,[  5.66930266  -6.39663458 -13.70343407]
15,[  3.99327994  -7.85013694 -12.27994914]
16,[ -5.2399483    4.50946384 -17.29280344]
17,[ -2.17636726  -8.56482404 -12.12965186]
18,[ -5.31762723   5.48204517 -11.20065374]
19,[  4.43516455  -1.05184187 -13.50159507]
20,[ 8.6821527  -5.34134906 -8.95286819]
21,[-3.80925077 -2.48843028 10.17349516]
22,[ 7.71299179 -7.45271171 -6.70644477]
23,[  1.13742257  -8.80030933 -10.39737652]
24,[ -0.18281578   4.77448237 -13.53143316]
25,[ -3.59712513  -3.67973988 -13.04066013]
26,[ -4.47247153   1.2200833  -11.54100701]
27,[ -3.07751214  -7.30559327 -11.36650529]
28,[-11.54690526 -12.49177101  -0.54585578]
29,[ 16.01162181   6.83071236 -16.95107843]
30,[-6.54885111 -3.33784195 -3.44306838]
31,[-1.46315331  7.15612643 -8.18881512]
32,[ -8.08729456  -6.03405726 -13.91242134]
33,[ -3.33611854  -2.57488316 -16.16002658]
34,[ 0.12206934 -2.44051321  2.19238034]
35,[  2.22679157  -5.42040293 -11.03456171]
36,[ -0.85057616   7.05011349 -14.8467483 ]
37,[ -6.22828867 -10.37671523  -2.74503581]
38,[ -0.41684409  12.46424977 -18.28911035]
39,[-11.33119611  -9.56149373  -6.04609698]
40,[ 1.96209486 -2.42774936 -5.6583715 ]
41,[-14.98217472   8.29475171 -10.16939301]
42,[ 8.93499515  9.80864549 -2.74149727]
43,[  1.37866208  -2.4809357  -10.57525696]
44,[ 8.76623671  2.37220231 -2.18899804]
45,[ -2.28376143  -5.30651324 -17.86786496]
46,[-4.45148608  2.63153498 -8.38025722]
47,[11.99118573  3.37084185 -2.67670063]
48,[  5.48578873   3.06199913 -15.29636224]
49,[-4.99622651  2.72045384 -9.57007274]
50,[ 8.7038959   4.86106432 -2.64627654]
51,[-2.11743658  6.44702808 -8.55774292]
52,[ -4.49563342  -2.19971436 -11.52785368]
53,[ -2.20037977   7.77264914 -23.3883191 ]
54,[-7.98557724 -3.66621265  6.28080489]
55,[  0.84964442   2.60288288 -11.27333126]
56,[ -0.64234792  -8.4371304  -21.41685716]
57,[-8.30513299 -2.53166004 -6.49529037]
58,[ 4.17820386  1.68514264 -8.60170235]
59,[-0.68645177 -7.28457929 -8.50541102]
60,[ 10.10284505   4.50157714 -19.98306553]
61,[ 9.01817469e-03  1.61532890e+01 -4.11774274e+00]
62,[ 0.07350053 -5.92099579 -3.36742563]
63,[-5.64536106  0.41500592 -8.92984222]
64,[-7.59274134 -7.11457217 -1.54187011]
65,[-5.39678124 -5.47783747 -4.50959791]
66,[-9.55253886  5.57718442 -9.39752406]
67,[-1.40207632 -7.51687321 -7.89515714]
68,[  4.02584929  -0.30321118 -21.95854231]
69,[  6.89003228  -9.7814581  -10.090566  ]
70,[  1.1447587   12.29911406 -16.82568026]
71,[-1.03298297  3.25888204 -0.5385134 ]
72,[-7.48566121  2.36993584 -9.17193939]
73,[-9.10935903  0.98495089 -7.52477008]
74,[ -2.7313334   -5.37214164 -13.6375769 ]
75,[12.75835653  4.54626578 -9.01328882]
76,[-8.93706645  1.36852598 -4.93773979]
77,[ 6.83419081  8.29975389 -1.99554053]
78,[-0.17614406 15.20290086 -8.49194938]
79,[ 5.75641149 -8.99206166 -8.86110141]
80,[ 5.74567574  1.45068114 -9.42121126]
81,[  8.62391223   5.99693316 -13.03677761]
82,[-6.9429019   2.17952993 -8.07152463]
83,[-2.8441037  -4.83831339 -6.6077106 ]
84,[ 5.73897349  1.21669986 -8.7801444 ]
85,[ 2.82178765 -2.87772681 -2.90053747]
86,[ 7.16770196 -3.46605157 -9.16715618]
87,[-6.08610291  0.0199271  -7.84202072]
88,[ 11.01412762  -0.28796711 -14.22516008]
89,[-13.72876115 -12.39504011  -0.55520085]
90,[-1.28167886  8.35254765 -4.95805763]
91,[ -3.40272927   3.15056499 -13.39758613]
92,[ -7.38766116  -5.60461975 -18.32127129]
93,[  0.86236558 -14.48349302   0.11706422]
94,[ 4.63475349 10.72409927 -3.24672577]
95,[-6.2840822  -2.69685415 -5.71110639]
96,[ 5.69619985  3.81599905 -5.46796179]
97,[-3.19336558 -2.48087228 -4.39683065]
98,[ -2.49836771 -11.06517212 -15.70012085]
99,[-13.48564414  -5.98467631 -11.83209602]
100,[ -0.03526218  -8.39284489 -12.77152288]
