rodada,pesos
1,"[ 0.79030665 -0.29547951 -0.68700722 -0.8369292   0.77662305  0.29593108
 -0.25500096  0.4264355   0.5613401   0.98295859  0.87150356  0.45501288]"
2,"[ 0.6514723  -0.2708256   0.47592863  0.3880663  -0.21197141 -0.43832854
  0.60532687  0.83227785  0.33872563 -0.44957649  0.4809738   0.38269253]"
3,"[-0.26710375  0.70025076 -0.23547715 -0.12004486 -0.67061213 -0.61597061
  2.01675806  3.87264591  0.24672649 -0.22776764 -0.63152955  0.68993389]"
4,"[-0.77746923  0.31890837  0.90716854 -0.10607886 -0.57854924  0.00154203
  0.04911461  0.96383246 -0.51361767  1.00622111  0.5416499   0.94436819]"
5,"[ 0.84378026  0.29103555  0.20303557 -0.76331278  0.68076703  0.44306731
  0.51493402  0.90429799 -0.20604958  0.24726549 -0.41806073 -0.68072158]"
6,"[-0.14331099  0.60927106 -0.21213546 -0.49531169  0.28282211  0.26396869
  0.4140265   0.61492032 -0.84978898 -0.13055451 -0.25597548  0.69887351]"
7,"[-0.70017908  0.48267191 -0.80990177  0.10510806  0.09250327 -0.3794246
  0.70357778  0.41730457 -0.06442686  0.32897271  0.52666288 -0.55021714]"
8,"[-0.21217287  0.89196668  0.32899382 -0.3288413   0.95832645 -0.12686213
  0.48444169  0.75209066  0.62958002  0.56444243  0.06296294 -0.95354425]"
9,"[-0.71874067  0.37319197  0.23289929  0.31848142 -0.59416511  0.90421911
 -0.5999611   0.93212428  0.3767043  -0.80518082  0.80488823  0.93395316]"
10,"[ 0.13384617  0.30495425 -0.02411222 -0.55570937 -0.54711101  0.20864572
  0.67779772  1.59283886  0.49245997 -0.57778725  0.47352759  0.87137537]"
11,"[ 0.54811817  0.13952021 -0.07738065 -0.143095    0.93943159 -0.35859547
  0.19886417  1.07848407 -0.39511542 -0.44856622  0.77717262  0.26208718]"
12,"[-0.02080884  0.10968242 -0.40266138 -0.01427416 -0.23326522  0.93610186
  0.44541395  0.26795513  0.25549422 -0.46248698  0.22360831  1.14674738]"
13,"[ 0.48399237  1.25344503  0.37899823  0.18580349  0.89492822 -0.45681817
  2.54109016  6.99677857  0.3526948   0.08597517 -0.19663328  0.62361893]"
