rodada,pesos
1,"[-0.06659258 -0.10229117  0.11621245  0.87482893  0.09607701  0.20951877
  1.1998933   2.73929035  0.90931865  0.8574793   0.92581367  1.19596957]"
2,"[ 0.60600704 -0.4211842   0.10435891  0.78917188  1.14140886  0.45456638
  0.92004115  5.32063732 -0.79448681  1.03222891 -0.9182874  -0.13966078]"
3,"[-0.10646598  0.45121567 -0.27589655  0.64878415 -0.38526976 -0.13449566
  0.16239312  0.49659712  0.62099946 -0.0509764   0.69529209  0.23781188]"
4,"[ 0.65350192  0.77763336 -0.6782038  -0.7415759  -0.67053102  0.01809762
  0.16226695  0.54725788  0.40929561  0.05987405  0.33349193  0.84996439]"
5,"[-0.81347429  0.41413564 -0.56732687 -0.52422052  0.63717375 -0.27949727
  1.93941822 10.14579921 -0.87434346 -0.33085606  0.12046684  0.47298601]"
6,"[ 0.05771837  0.96710637 -0.58680843  0.83099395 -0.67066473  0.62461089
  2.04250557 10.43081455  0.69919624 -0.64242922 -0.03958576  0.53223306]"
7,"[-0.71381046 -0.90531244 -0.85846311  0.77817132  0.64794131 -0.25416168
  0.86837339  0.61698665 -0.8352716  -0.61730586  0.82324342 -0.06713461]"
8,"[-0.0335084  -0.69122562  0.04713128  0.4841292   0.8661974  -0.96861654
  1.06359392  1.06134835  0.72625112 -0.75323538  0.21313617  0.13564974]"
9,"[-0.7984329   0.10410538 -0.43495774  0.74241361 -0.8097961   0.30625734
  0.7472821   0.8386074   0.83381632 -0.26560816 -0.57108359  0.67616612]"
10,"[ 0.05182751  0.33087624 -0.37301442 -0.72359118  0.77423094 -0.708906
  3.48629707 16.05311227  0.88682608 -0.31136357 -0.45438229  0.55648526]"
11,"[ 0.79583138  0.01624811 -0.06051191  0.50630473  0.21819725 -0.08809193
 -0.47416065  0.61457854  0.063726    0.55492402  0.04090379 -0.06533706]"
