pt_otimo[x],pt_otimo[y],f(otimo),hiperparametro
-156.6014181289781,18.86577400150415,136.25160569571725,0.0
-128.2058760201007,-128.52999799070395,27.897333010440093,0.0
-97.59408413267934,-7.329822537275817,-78.11505737143008,0.0
-174.32189792516172,-108.39238749458264,-185.26882670976298,0.0
-163.04487958829407,-94.06623023474485,-203.19697083756247,0.0
-173.41792079641235,-101.25848621870306,-207.54899803084092,0.0
-168.8612849917328,-92.3544089175913,-209.52255617667208,0.0
-168.8612849917328,-92.3544089175913,-209.52255617667208,0.0
-174.78542180919104,-98.06684906904515,-209.98571282437996,0.0
-170.54011499654413,-94.47915274788261,-210.78506992635278,0.0
-170.54011499654413,-94.47915274788261,-210.78506992635278,0.0
-170.54011499654413,-94.47915274788261,-210.78506992635278,0.0
-170.54011499654413,-94.47915274788261,-210.78506992635278,0.0
-170.54011499654413,-94.47915274788261,-210.78506992635278,0.0
-170.75006143212607,-96.92758793409006,-210.90297661285865,0.0
-170.75006143212607,-96.92758793409006,-210.90297661285865,0.0
-170.75006143212607,-96.92758793409006,-210.90297661285865,0.0
-170.75006143212607,-96.92758793409006,-210.90297661285865,0.0
-170.75006143212607,-96.92758793409006,-210.90297661285865,0.0
-170.75006143212607,-96.92758793409006,-210.90297661285865,0.0
-170.75006143212607,-96.92758793409006,-210.90297661285865,0.0
-170.75006143212607,-96.92758793409006,-210.90297661285865,0.0
-170.75006143212607,-96.92758793409006,-210.90297661285865,0.0
-170.75006143212607,-96.92758793409006,-210.90297661285865,0.0
-170.75006143212607,-96.92758793409006,-210.90297661285865,0.0
-170.75006143212607,-96.92758793409006,-210.90297661285865,0.0
-170.75006143212607,-96.92758793409006,-210.90297661285865,0.0
-170.75006143212607,-96.92758793409006,-210.90297661285865,0.0
-170.75006143212607,-96.92758793409006,-210.90297661285865,0.0
-170.75006143212607,-96.92758793409006,-210.90297661285865,0.0
-170.75006143212607,-96.92758793409006,-210.90297661285865,0.0
-170.75006143212607,-96.92758793409006,-210.90297661285865,0.0
-170.75006143212607,-96.92758793409006,-210.90297661285865,0.0
-170.75006143212607,-96.92758793409006,-210.90297661285865,0.0
-172.37714082606723,-96.85651479577835,-211.0462521192618,0.0
-172.37714082606723,-96.85651479577835,-211.0462521192618,0.0
-172.37714082606723,-96.85651479577835,-211.0462521192618,0.0
-172.37714082606723,-96.85651479577835,-211.0462521192618,0.0
-172.37714082606723,-96.85651479577835,-211.0462521192618,0.0
-172.37714082606723,-96.85651479577835,-211.0462521192618,0.0
-172.37714082606723,-96.85651479577835,-211.0462521192618,0.0
-172.37714082606723,-96.85651479577835,-211.0462521192618,0.0
-172.37714082606723,-96.85651479577835,-211.0462521192618,0.0
-172.37714082606723,-96.85651479577835,-211.0462521192618,0.0
-172.37714082606723,-96.85651479577835,-211.0462521192618,0.0
-172.37714082606723,-96.85651479577835,-211.0462521192618,0.0
-172.37714082606723,-96.85651479577835,-211.0462521192618,0.0
-172.37714082606723,-96.85651479577835,-211.0462521192618,0.0
-172.37714082606723,-96.85651479577835,-211.0462521192618,0.0
-172.37714082606723,-96.85651479577835,-211.0462521192618,0.0
-172.37714082606723,-96.85651479577835,-211.0462521192618,0.0
-172.37714082606723,-96.85651479577835,-211.0462521192618,0.0
-172.37714082606723,-96.85651479577835,-211.0462521192618,0.0
-172.37714082606723,-96.85651479577835,-211.0462521192618,0.0
-170.52041224437718,-95.12871461124797,-211.06611025337654,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
-171.82842462492323,-96.76739527975703,-211.12967851715155,0.0
